1	o	1	2	57.3373	2	1	173.7817	118.2760	0.0000	0.0000	-545.3860	0.0000	0.2998	0.0000	0.0819	415.4516	3150.2578
2	o	5	1	168.8025	2	2	304.5659	348.6807	-0.5994	0.0000	0.0000	0.0000	0.0000	0.0000	1.4873	890.8338	32589.2793
3	c	1	1	139.0380	2	2	196.4686	94.2979	0.0000	0.0000	0.0000	0.0000	-0.5430	-0.4277	0.8896	267.5072	2210.4053
4	o	2	2	158.6058	2	2	236.1245	175.4976	-1.6711	-1.8533	0.0000	-442.9322	2.2718	0.4794	0.3408	708.4047	4022.3534
5	o	1	1	165.8854	2	1	154.4257	111.1758	0.0000	0.0000	0.0000	769.6130	0.0000	-1.5949	0.2718	453.0120	3416.6334
6	o	4	1	2.2080	2	2	468.8820	457.6386	0.0000	1.4577	-3596.4338	0.0000	0.0000	0.0000	2.4112	1715.1376	21511.9246
7	b	2	2	90.0120	2	2	192.3379	137.8341	0.0000	1.1153	0.0000	0.0000	0.0000	2.7257	0.1189	755.9001	7272.8844
8	o	2	2	150.0888	2	1	171.1531	127.1134	0.0000	0.0000	0.0000	516.5130	0.6464	0.5066	0.4882	280.2573	10236.9053
9	b	2	1	173.4935	2	2	182.4997	258.1893	-0.2756	0.0000	-932.8498	804.8518	0.5182	-0.5534	0.5449	71.1052	5057.0391
10	o	2	1	150.0655	2	1	167.7890	122.3078	0.0000	-1.9840	0.0000	0.0000	0.0000	-0.5330	0.1352	762.4523	6620.0766
11	o	2	1	13.5706	1	2	106.9832	266.5102	0.0000	0.0000	0.0000	0.0000	0.5104	0.0000	2.8110	575.9130	4985.6496
12	o	1	2	77.2346	2	2	195.5888	83.3743	1.7387	-1.1288	0.0000	0.0000	-0.2561	-1.2928	0.4706	581.4986	2390.4004
13	o	1	1	135.8617	2	1	79.2337	153.3181	0.0000	-1.9180	0.0000	0.0000	-0.4811	-1.5541	0.2587	306.3129	2515.7487
14	o	1	2	127.6034	2	1	115.0452	83.0726	0.0000	0.0000	0.0000	0.0000	-2.1594	0.3690	0.1345	511.7206	1559.5716
15	o	2	1	174.3056	2	2	194.0494	288.6997	0.0000	0.0000	0.0000	-1100.6669	2.4089	0.0000	0.6642	543.2827	6255.8769
16	o	2	2	151.4819	1	2	129.9874	145.4223	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5183	439.7550	4291.3430
17	o	2	1	169.8537	2	1	267.6802	69.8605	0.0000	0.0000	0.0000	0.0000	0.0000	3.1847	0.0194	367.6428	9016.3026
18	o	2	2	17.4080	2	1	191.3760	190.3083	0.0000	0.6821	0.0000	-514.1829	-0.8462	-0.7618	0.6784	730.7301	7987.1739
19	o	2	1	165.0308	1	2	149.5224	120.3237	0.0000	0.0000	1391.8134	0.0000	0.0000	-0.6510	0.2800	708.8174	5841.3949
20	o	2	1	137.9713	2	2	184.5556	287.3778	-1.2416	-1.0859	0.0000	0.0000	1.4829	0.5914	1.3878	639.2575	10080.0954
21	o	2	1	48.4441	2	2	153.6044	283.2095	-0.5761	-1.1002	0.0000	-570.7286	0.4494	-2.5297	0.9352	67.5703	8099.9420
22	c	2	1	169.4909	2	2	258.7327	128.6373	0.0000	0.0000	0.0000	914.8472	-0.5846	-0.3004	0.5528	54.9567	5594.7855
23	o	3	2	113.0895	2	2	169.5302	361.4240	0.0000	-1.6790	997.7201	0.0000	0.5654	0.6433	2.2200	757.5983	11737.8672
24	o	1	1	178.3897	2	1	64.6262	168.2753	0.0000	0.0000	0.0000	0.0000	-0.7319	0.0000	0.9012	43.4096	2017.4164
25	b	2	2	88.9457	2	2	141.8260	93.7030	1.6718	0.0000	0.0000	643.0673	0.3635	-1.6903	0.6083	219.1823	5081.6826
26	o	5	1	170.0059	2	2	567.4274	463.9704	0.0000	0.0000	787.0059	4134.7182	-0.7498	0.6348	2.5307	160.4273	34496.8285
27	d	1	2	132.5107	1	2	136.4409	93.5335	0.0000	0.0000	-1152.7223	0.0000	-2.1257	0.2681	0.1230	94.5189	2542.1793
28	o	3	1	151.2299	2	2	381.1764	288.3486	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0421	544.7888	15525.0568
29	o	2	1	167.5521	2	2	191.4885	132.0845	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3325	2.9119	559.3633	10134.3920
30	b	2	1	157.8569	2	2	224.8080	70.1978	0.7831	0.0000	0.0000	0.0000	0.0000	-3.2649	0.8155	484.7332	5363.3328
31	o	1	2	160.3381	2	1	173.9693	102.1230	-1.0107	0.0000	0.0000	0.0000	1.6452	0.3274	0.0991	765.5526	3596.7188
32	o	2	1	62.9199	2	2	186.9890	184.2027	0.9609	0.0000	0.0000	0.0000	-1.2756	3.4536	2.1597	513.8637	8496.2405
33	o	1	2	179.9080	2	1	131.6056	77.4254	0.0000	0.0000	0.0000	0.0000	0.0000	5.1655	2.8880	377.0257	2482.9653
34	o	2	1	167.6999	2	2	143.6989	190.0802	0.0000	0.0000	0.0000	0.0000	0.0000	-0.5821	1.0250	697.5955	8947.0748
35	o	3	2	1.9334	2	2	264.4556	128.2509	0.0000	0.3719	0.0000	-445.6280	0.0000	0.8040	0.4058	718.6267	10888.4867
36	o	1	2	95.3821	2	2	65.0365	77.9708	0.0000	0.0000	-417.0786	0.0000	-0.6878	3.2671	0.5205	612.3225	2915.1773
37	b	1	2	165.9223	2	2	73.6225	123.2015	1.7751	0.0000	498.7075	0.0000	2.9863	-0.8449	0.8068	419.3297	3272.6483
38	o	1	1	164.3736	2	1	186.4917	166.5512	0.0000	0.0000	-834.6930	0.0000	-0.6426	0.0000	0.1166	570.7942	3216.4308
39	o	2	2	165.6326	1	2	89.5887	173.7783	0.0000	0.5791	595.3858	-811.9113	-1.8107	0.8799	0.4310	421.7412	7894.2527
40	o	2	1	165.3912	2	2	207.1450	173.9935	0.0000	0.0000	-598.9703	0.0000	0.5003	3.0555	0.6649	290.6261	8070.0483
41	o	2	1	135.2072	2	2	173.5085	107.4772	0.0000	0.0000	0.0000	0.0000	-0.9156	-0.7931	0.1130	551.0926	3894.7696
42	o	1	1	82.2808	2	1	154.9892	51.8430	0.0000	0.0000	0.0000	942.4487	0.0000	0.0000	0.0840	191.0958	2369.4547
43	o	1	1	93.6761	2	2	145.2458	128.6889	0.0000	0.0000	0.0000	0.0000	0.5262	0.5069	0.8657	156.8196	1319.1720
44	o	2	2	67.7225	2	2	154.4951	199.6985	0.0000	0.0000	0.0000	0.0000	-2.3582	-2.6009	0.8296	328.4996	10031.2384
45	b	1	2	144.5824	2	2	53.6045	178.2767	0.0000	1.0031	0.0000	0.0000	1.4641	0.0000	0.2247	525.9727	1781.7436
46	d	1	1	141.5123	2	1	96.0776	87.3711	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3145	0.2828	401.9080	2853.6963
47	o	3	2	164.6991	2	2	284.8516	77.2851	0.0000	0.0000	0.0000	0.0000	0.7461	0.0000	1.9140	197.9182	17347.3329
48	o	1	1	45.2212	2	1	134.1867	114.7169	0.0000	0.0000	0.0000	0.0000	-0.8869	2.7057	0.9354	427.1532	3045.7910
49	o	1	1	146.6017	2	1	96.0465	77.7619	0.0000	0.0000	0.0000	0.0000	2.5906	0.0000	0.1166	406.0941	2460.5460
50	o	1	2	177.1091	2	1	86.6086	155.3552	0.9100	0.0000	0.0000	0.0000	4.7320	0.0000	0.6137	667.1011	3504.5191
